通常
	卡名: 第13人的埋葬者
	密码: 32864
	描述: 原本没有任何人的一零三号墓地突然出现的丧尸。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 不死
	攻击力: 1200
	防御力: 900
	星级: 3

	卡名: 核成衍生物
	密码: 176393
	描述: 由「核成试验台」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 核成
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 地
	种族: 岩石
	攻击力: 1800
	防御力: 1800
	星级: 4

	卡名: 冰水精灵
	密码: 487395
	描述: 据说是在古代南极大陆的永久冻土拥有了生命的冰水精灵。能够渗透进各种物质里。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常|调整
	效果类型: 
	属性: 水
	种族: 水
	攻击力: 400
	防御力: 1200
	星级: 1

	卡名: 硬毛鼠
	密码: 549481
	描述: 毛像硬皮一样聚集在一起，守备力非常的高。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 兽
	攻击力: 500
	防御力: 2000
	星级: 4

	卡名: 工具衍生物
	密码: 645088
	描述: 由「电子界工具」的效果特殊召唤。
	OT: OCG|TCG
	同名卡: 
	字段: 零件
	卡片种类: 怪兽|通常|衍生物
	效果类型: 
	属性: 光
	种族: 电子界
	攻击力: 0
	防御力: 0
	星级: 2

	卡名: 骷髅寺院
	密码: 732302
	描述: 全部由骷髅和骨头建立而成的寺院。会吸收接近的人的灵魂。
	OT: OCG|TCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 暗
	种族: 不死
	攻击力: 900
	防御力: 1300
	星级: 4

	卡名: 多隆
	密码: 756652
	描述: 分身夹击的怪兽，要小心！
	OT: OCG
	同名卡: 
	字段: 
	卡片种类: 怪兽|通常
	效果类型: 
	属性: 地
	种族: 战士
	攻击力: 900
	防御力: 500
	星级: 2

	卡名: 幻兽机衍生物
	密码: 904186
